  0.0    0.0    23.91      5.0
  0.0119999
          3     700   3      0.0 0.0 0.0
  fid   sid   dummyXflux   z        mag
  0     0     0            0.46525   21.00298882542386281
  0     0     0            0.46525   21.76932981044977922
  0     0     0            0.46525   22.88865019132942180
  0     0     0            0.46525   22.95319282169056407
  0     0     0            0.46525   23.69525459434330017
  0     0     0            0.46525   22.74855853979696008
  0     0     0            0.46525   27.78486959460962424
  0     0     0            0.46525   20.70774938462321302
  0     0     0            0.46525   27.96731577622748688
  0     0     0            0.46525   23.64019490566389692
  0     0     0            0.46525   29.51176065079354771
  0     0     0            0.46525   21.48748834335174962
  0     0     0            0.46525   21.09553237803694259
  0     0     0            0.46525   20.92464364371206997
  0     0     0            0.46525   27.43076593721462331
  0     0     0            0.46525   26.69888794706680102
  0     0     0            0.46525   21.31115952539797576
  0     0     0            0.46525   24.33285325407835842
  0     0     0            0.46525   22.96728379000731124
  0     0     0            0.46525   20.76017482622249588
  0     0     0            0.46525   21.30270017727055887
  0     0     0            0.46525   26.64143975138075149
  0     0     0            0.46525   25.57230239018439732
  0     0     0            0.46525   19.78540515200534600
  0     0     0            0.46525   19.76344440050124973
  0     0     0            0.46525   21.37125128768649773
  0     0     0            0.46525   20.91500413595751695
  0     0     0            0.46525   19.94807140929236056
  0     0     0            0.46525   21.66141519493460521
  0     0     0            0.46525   29.45887448914954376
  0     0     0            0.46525   23.06299027119812450
  0     0     0            0.46525   20.28918520249395030
  0     0     0            0.46525   20.14083626564052310
  0     0     0            0.46525   20.55190154808725822
  0     0     0            0.46525   21.65041272152684115
  0     0     0            0.46525   21.37789576283359594
  0     0     0            0.46525   21.52436192903142143
  0     0     0            0.46525   26.29850803732441022
  0     0     0            0.46525   20.36624664298083331
  0     0     0            0.46525   24.46321087432104946
  0     0     0            0.46525   22.28248236368922619
  0     0     0            0.46525   21.19718265803073365
  0     0     0            0.46525   23.56711247224499317
  0     0     0            0.46525   21.51316818231627437
  0     0     0            0.46525   22.48281680876278088
  0     0     0            0.46525   22.17433201398675635
  0     0     0            0.46525   20.80831872614409406
  0     0     0            0.46525   21.86817217518269629
  0     0     0            0.46525   20.52569593726924779
  0     0     0            0.46525   23.30258845234513743
  0     0     0            0.46525   24.07012796722572290
  0     0     0            0.46525   22.81938109013397309
  0     0     0            0.46525   26.71128382029089465
  0     0     0            0.46525   20.69106253999549949
  0     0     0            0.46525   22.08461153663754928
  0     0     0            0.46525   23.87824857834601033
  0     0     0            0.46525   24.73766096063176789
  0     0     0            0.46525   20.81864567569283153
  0     0     0            0.46525   22.53496606271018265
  0     0     0            0.46525   22.51396546938637044
  0     0     0            0.46525   21.65628802102021666
  0     0     0            0.46525   20.62054019715193931
  0     0     0            0.46525   21.80008183909819763
  0     0     0            0.46525   21.98051290575731542
  0     0     0            0.46525   22.19795208432650213
  0     0     0            0.46525   20.57953832024918484
  0     0     0            0.46525   20.71385742431932897
  0     0     0            0.46525   22.64185157563128215
  0     0     0            0.46525   21.76066810125041329
  0     0     0            0.46525   21.93680342338956279
  0     0     0            0.46525   20.74318290525581432
  0     0     0            0.46525   26.17390433973140063
  0     0     0            0.46525   22.22403245276950656
  0     0     0            0.46525   22.27996146166447033
  0     0     0            0.46525   27.36971370306064699
  0     0     0            0.46525   25.67798605982271454
  0     0     0            0.46525   21.73843547106029916
  0     0     0            0.46525   20.59846565659433537
  0     0     0            0.46525   22.78212574861224482
  0     0     0            0.46525   22.17676287580655270
  0     0     0            0.46525   21.29554215157847352
  0     0     0            0.46525   21.06425205502846154
  0     0     0            0.46525   25.07667695336476044
  0     0     0            0.46525   27.57349692411984421
  0     0     0            0.46525   28.66327075866986007
  0     0     0            0.46525   27.42369367321188633
  0     0     0            0.46525   21.17403638952432487
  0     0     0            0.46525   25.25314417134465472
  0     0     0            0.46525   21.50249091274032409
  0     0     0            0.46525   21.89512921454220162
  0     0     0            0.46525   22.01919928279251337
  0     0     0            0.46525   23.52776796967845385
  0     0     0            0.46525   25.81071053322944664
  0     0     0            0.46525   23.14886536409952456
  0     0     0            0.46525   21.94063153268409394
  0     0     0            0.46525   22.80237642628543782
  0     0     0            0.46525   22.02134312280279360
  0     0     0            0.46525   21.97931443449232347
